related_sector,secid
超市,90.BK1552
旅游零售Ⅲ,90.BK1549
旅游零售Ⅱ,90.BK1269
百货,90.BK1551
医美耗材,90.BK1500
其他数字媒体,90.BK1295
一般零售,90.BK0482
商业地产,90.BK1345
品牌化妆品,90.BK1498
门户网站,90.BK1294
铁路运输,90.BK1485
保险Ⅲ,90.BK1358
保险Ⅱ,90.BK0474
宠物食品,90.BK1507
人工景区,90.BK1562
白酒Ⅲ,90.BK1575
白酒Ⅱ,90.BK1277
旅游综合,90.BK1561
酒店,90.BK1560
稀土,90.BK1626
氨纶,90.BK1412
酒店餐饮,90.BK1271
旅游及景区,90.BK1272
医疗美容,90.BK1253
冶钢辅料,90.BK1372
农业综合Ⅲ,90.BK1506
农业综合Ⅱ,90.BK1257
国际工程,90.BK1475
血液制品,90.BK1597
啤酒,90.BK1577
游戏Ⅲ,90.BK1301
游戏Ⅱ,90.BK1046
租赁,90.BK1365
多业态零售,90.BK1553
餐饮,90.BK1559
城商行Ⅲ,90.BK1609
自然景区,90.BK1563
诊断服务,90.BK1602
疫苗,90.BK1598
端到端供应链服务,90.BK1491
视频媒体,90.BK1296
股份制银行Ⅲ,90.BK1610
房地产综合服务,90.BK1342
线下药店,90.BK1606
生活用纸,90.BK1495
银行,90.BK1283
银行Ⅱ,90.BK0475
个护用品,90.BK1251
航运,90.BK1482
商贸零售,90.BK1213
空调,90.BK1450
数字媒体,90.BK1221
洗护用品,90.BK1496
焦炭Ⅲ,90.BK1492
焦炭Ⅱ,90.BK1249
医疗研发外包,90.BK1600
非白酒,90.BK1279
纺织鞋类制造,90.BK1347
中药Ⅲ,90.BK1608
中药Ⅱ,90.BK1040
机场,90.BK1480
美容护理,90.BK1035
国有大型银行Ⅲ,90.BK1611
院线,90.BK1300
运动服装,90.BK1355
农商行Ⅲ,90.BK1612
航天装备Ⅲ,90.BK1385
航天装备Ⅱ,90.BK1232
钾肥,90.BK1434
炼油化工,90.BK1569
通信网络设备及器件,90.BK1591
航空机场,90.BK0420
快递,90.BK1489
预加工食品,90.BK1581
物业管理,90.BK1343
其他酒类,90.BK1578
航空运输,90.BK1479
通信线缆及配套,90.BK1592
水泥制造,90.BK1464
房地产服务,90.BK1045
基建市政工程,90.BK1472
医药商业,90.BK1042
航运港口,90.BK0450
铁路公路,90.BK0421
化妆品,90.BK1252
高速公路,90.BK1483
零食,90.BK1583
交通运输,90.BK1210
家纺,90.BK1353
汽车经销商,90.BK1523
医药流通,90.BK1607
医疗服务,90.BK0727
定制家居,90.BK1539
食品饮料,90.BK0438
特种纸,90.BK1545
软饮料,90.BK1586
原材料供应链服务,90.BK1490
其他农产品加工,90.BK1505
化学工程,90.BK1476
其他养殖,90.BK1510
房地产,90.BK1202
定制家居,90.BK1539
冶钢原料,90.BK1228
综合电商,90.BK1548
广告媒体,90.BK1292
核力发电,90.BK1376
医药生物,90.BK1216
房地产开发,90.BK0451
白色家电,90.BK1239
商用载客车,90.BK1531
化学制剂,90.BK1594
住宅开发,90.BK1346
房产租赁经纪,90.BK1341
长材,90.BK1369
物流,90.BK0422
熟食,90.BK1584
基础建设,90.BK1247
化学制药,90.BK0465
人力资源服务,90.BK1568
社会服务,90.BK1214
调味发酵品Ⅲ,90.BK1576
调味发酵品Ⅱ,90.BK1278
港口,90.BK1481
食品加工,90.BK1280
食品及饲料添加剂,90.BK1429
休闲食品,90.BK1281
水泥,90.BK0424
钟表珠宝,90.BK1357
原料药,90.BK1595
厨房电器,90.BK1451
非运动服装,90.BK1352
跨境物流,90.BK1488
其他家居用品,90.BK1540
商业物业经营,90.BK1554
冰洗,90.BK1449
教育出版,90.BK1290
纺织服装设备,90.BK1401
体外诊断,90.BK1603
医疗耗材,90.BK1604
厨卫电器,90.BK1240
民爆制品,90.BK1427
成品家居,90.BK1537
装修装饰Ⅲ,90.BK1478
装修装饰Ⅱ,90.BK0725
家居用品,90.BK0440
粮食种植,90.BK1515
厨房小家电,90.BK1457
教育运营及其他,90.BK1556
医疗器械,90.BK1041
电信运营商,90.BK1587
金融控股,90.BK1359
氮肥,90.BK1432
工程机械整机,90.BK1393
农产品加工,90.BK1256
食用菌,90.BK1517
其他生物制品,90.BK1596
出版,90.BK1218
饮料乳品,90.BK1282
造纸,90.BK1267
通信设备,90.BK0448
专业连锁Ⅲ,90.BK1555
专业连锁Ⅱ,90.BK1270
服装家纺,90.BK1225
板材,90.BK1367
卫浴电器,90.BK1452
卫浴制品,90.BK1541
电视广播Ⅲ,90.BK1291
电视广播Ⅱ,90.BK1219
肉制品,90.BK1580
棉纺,90.BK1349
大众出版,90.BK1289
医疗设备,90.BK1605
炼化及贸易,90.BK1274
资产管理,90.BK1364
传媒,90.BK0486
其他石化,90.BK1570
其他家电Ⅲ,90.BK1456
其他家电Ⅱ,90.BK1243
普钢,90.BK1226
会展服务,90.BK1565
农药,90.BK1436
医院,90.BK1601
饰品,90.BK0734
商用车,90.BK1264
地面兵装Ⅲ,90.BK1382
地面兵装Ⅱ,90.BK1229
饲料,90.BK1258
粘胶,90.BK1416
非银金融,90.BK1203
钢结构,90.BK1474
仓储物流,90.BK1486
乳品,90.BK1585
粮油加工,90.BK1504
纸包装,90.BK1535
综合Ⅲ,90.BK1627
综合,90.BK1217
综合Ⅱ,90.BK0539
煤化工,90.BK1419
畜禽饲料,90.BK1508
轻工制造,90.BK1212
学历教育,90.BK1558
农化制品,90.BK0731
保健品,90.BK1579
动物保健Ⅲ,90.BK1501
动物保健Ⅱ,90.BK1254
建筑装饰,90.BK1209
塑料包装,90.BK1533
印刷,90.BK1534
林业Ⅲ,90.BK1502
林业Ⅱ,90.BK1255
公交,90.BK1484
纺织服饰,90.BK0436
期货,90.BK1361
纯碱,90.BK1417
多元金融,90.BK0738
园林工程,90.BK1473
农林牧渔,90.BK0433
汽车服务,90.BK1016
工程咨询服务Ⅲ,90.BK1471
工程咨询服务Ⅱ,90.BK0726
复合肥,90.BK1433
证券Ⅲ,90.BK1366
证券Ⅱ,90.BK0473
贸易Ⅲ,90.BK1550
贸易Ⅱ,90.BK0484
轮胎轮毂,90.BK1527
钢铁,90.BK0479
工程机械,90.BK0739
其他通信设备,90.BK1590
包装印刷,90.BK1265
果蔬加工,90.BK1503
商用载货车,90.BK1530
烘焙食品,90.BK1582
楼宇设备,90.BK1402
铁矿石,90.BK1371
其他建材Ⅲ,90.BK1468
其他化学原料,90.BK1420
通信,90.BK1215
海洋捕捞,90.BK1513
瓷砖地板,90.BK1538
印刷包装机械,90.BK1406
农用机械,90.BK1404
轨交设备Ⅲ,90.BK1394
轨交设备Ⅱ,90.BK1236
非金属材料Ⅲ,90.BK1411
非金属材料Ⅱ,90.BK1020
教育,90.BK0740
养殖业,90.BK1259
大宗用纸,90.BK1544
其他专业服务,90.BK1567
生猪养殖,90.BK1512
石油石化,90.BK0464
综合乘用车,90.BK1520
影视院线,90.BK1222
小家电,90.BK1244
水泥制品,90.BK1463
专业服务,90.BK1043
大气治理,90.BK1388
种植业,90.BK1261
公路货运,90.BK1487
种子,90.BK1518
金属包装,90.BK1532
安防设备,90.BK1445
其他能源发电,90.BK1378
水务及水治理,90.BK1390
仪器仪表,90.BK0458
煤炭,90.BK0437
航空装备Ⅲ,90.BK1384
航空装备Ⅱ,90.BK1231
培训教育,90.BK1557
跨境电商,90.BK1547
辅料,90.BK1348
产业地产,90.BK1344
聚氨酯,90.BK1426
化妆品制造及其他,90.BK1497
建筑材料,90.BK1208
固废治理,90.BK1389
线缆部件及其他,90.BK1312
专业工程,90.BK1248
钨,90.BK1625
纺织制造,90.BK1224
管材,90.BK1466
化学原料,90.BK1019
玻璃制造,90.BK1461
国防军工,90.BK1204
环境治理,90.BK1235
检测服务,90.BK1566
油气开采Ⅲ,90.BK1574
油气开采Ⅱ,90.BK1276
化学纤维,90.BK0471
纺织化学制品,90.BK1423
其他通用设备,90.BK1398
房屋建设Ⅲ,90.BK1470
房屋建设Ⅱ,90.BK1246
装修建材,90.BK0476
娱乐用品,90.BK1543
氯碱,90.BK1418
炭黑,90.BK1442
肉鸡养殖,90.BK1511
渔业,90.BK1260
航海装备Ⅲ,90.BK1383
航海装备Ⅱ,90.BK1230
照明设备Ⅲ,90.BK1460
照明设备Ⅱ,90.BK1245
涤纶,90.BK1413
环保,90.BK0728
涂料,90.BK1469
互联网电商,90.BK1268
乘用车,90.BK1262
IT服务Ⅲ,90.BK1444
IT服务Ⅱ,90.BK1238
钢铁管材,90.BK1368
其他橡胶制品,90.BK1441
综合包装,90.BK1536
动力煤,90.BK1493
其他化学纤维,90.BK1415
个护小家电,90.BK1458
家用电器,90.BK0456
信托,90.BK1363
文娱用品,90.BK1266
工程机械器件,90.BK1392
图片媒体,90.BK1297
耐火材料,90.BK1467
影视动漫制作,90.BK1299
印染,90.BK1351
其他医疗服务,90.BK1599
橡胶,90.BK1018
计算机,90.BK1207
磷肥及磷化工,90.BK1435
综合电力设备商,90.BK1323
品牌消费电子,90.BK1337
计算机设备,90.BK0735
通信终端及配件,90.BK1593
医美服务,90.BK1499
煤炭开采,90.BK1250
火电设备,90.BK1321
军工电子Ⅲ,90.BK1386
军工电子Ⅱ,90.BK1233
燃气Ⅲ,90.BK1381
燃气Ⅱ,90.BK1028
基础化工,90.BK1206
